customerid,hashed_name,registration_date,country_code
1,8PNhV3virURRUEMars3IBHuFcz/RYz12zySUToV8bvM=,2019-03-02 00:00:49,GB
2,KSCXLfspCoP//pcJ2h+UmV3xKWifHxDdBK+C+/zqGmU=,2019-03-02 00:00:52,DE
3,QRPeVwzlnQnAIFnMprakrYwKIW1PUixLVae3vNrly9U=,2019-03-02 00:01:09,NL
4,daLDPAU3rghXxjJQZ3mcVDoKOYTuEgHevM5Vwo2wc1w=,2019-03-02 00:03:40,DE
5,TuLV5cPuabkad6axgj8PAWPsnnZExopkS+/wg1y8QAc=,2019-03-02 00:04:57,DE
6,lvrT5rweVUHnoqW3vKT2xau1L9phEy6rEy90ioYxa7k=,2019-03-02 00:05:19,DE
7,TVfIaDib2X/omW+g9gP+QjG9SIKLh5AtyngL5m+iaI4=,2019-03-02 00:05:23,PL
8,3APlqMx0522tvrS7DAaby9bIr3CT5mrQf0l00HFg+JQ=,2019-03-02 00:05:23,PL
9,YfMhGOFfVmDxLs84odxd8j/hWwGXb9WJHX7r1X36XwA=,2019-03-02 00:05:23,MX
10,pjPtFvskDR614ITmTpBvLfljicHt/6r5xIEUUX244g4=,2019-03-02 00:05:23,PL
11,75ax3ufrpCJQK5sosvQ1ujAKoprupQCWQCsuhbYd7Yo=,2019-03-02 00:07:07,PL
12,KUlkOvYv5b5CBmgXeM1GrAHYa+eXEWNYS61wjkXUaTY=,2019-03-02 00:08:44,NL
13,O2w/AtG3cMOANNY4SD+c47hMGsC+v3mHd0TxLIR67JI=,2019-03-02 00:09:26,NL
14,hRmZ9gv/imTuAQhqJVZtpAosm3BbO40KLlgphfYwyI0=,2019-03-02 00:11:39,IT
15,/en1PwT2JK+QCjE30oap2/2uKGfsBnygOSm1nEYIm7k=,2019-03-02 00:12:20,DE
16,2UfZig6yVJh6shbQSaKpscjaWk8wH5+CYLovN6NM/Pk=,2019-03-02 00:12:57,DE
17,QqFreP1X5jLGaUj2s+Fups5yFnCOW2mp01zhCduKOyo=,2019-03-02 00:14:34,NL
18,WhSclCvk8mNRL4gG9OmvCsPUNqMgaszbzMQoyJJTTE0=,2019-03-02 00:16:02,NL
19,CKvSOJdlBndRzXnppYZ1sjaFQa9osKmVkwFj0z66l8A=,2019-03-02 00:16:37,IT
20,hX+TSAK0UBA2tc0U8DhbHM6bopxUHRrkEDhyEjl5MCQ=,2019-03-02 00:18:16,IT
21,x+K+rw78L1lCrs6JFuTXqn+nTYIkPOosF+dPZ1Im5cQ=,2019-03-02 00:18:17,IT
22,IOckwwV8R4PeoLKbAf5mG7ZOAE37+pgoy9F073iDv1Y=,2019-03-02 00:18:49,PL
23,Gr/WGN8kESaUT2MAb88OPojyhApXhCDKH3SH+nrJVQk=,2019-03-02 00:18:54,DE
24,s+iPwRg6uN9LPjmciprA/B8zVn+TZS04ek5IQwtY1vs=,2019-03-02 00:22:26,PL
25,8D62GJ24tXd7XGlAA+EkvI+VDrS7FgCrvP9tOb3Zx+Y=,2019-03-02 00:23:23,NL
26,KSCXLfspCoP//pcJ2h+UmV3xKWifHxDdBK+C+/zqGmU=,2019-03-02 00:24:34,DE
27,c/Gm5EcYWxXdheTrEliHXKAixbiSEQAixb/ctqjf3hk=,2019-03-02 00:25:17,NL
28,X8LqPO7HqreKdS5ulk59GFsJvrGD2CDfaJy1amKHDq0=,2019-03-02 00:25:39,DE
